م,اسم المنافسة,الجهة,الرقم المرجعي,مدة العقد,الشركة,المتبقي لإغلاق المنافسة,التصنيف,تاريخ النشر,تاريخ تسجيل الفرصة,تاريخ إغلاق المنافسة,نشاط المنافسة,مبلغ التقديم,شركة الترسية المشروع عليها,قيمة الترسية,,,,,,,,,,,,,,,,,,
622,مشروع صيانة الحدائق بالمحافظة والمراكز التابعة لها,بلدية بارق,250339005154,90 يوم,المقاولات,-239,لن يتم التقديم,10-Mar-25,23-Mar-25,26-Mar-25,"الإنشاءات والعقارات
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)-إنشاء الطرق
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق
مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
623,مشروع تطوير مستودع ومنصة إدارة وحوكمة البيانات وتحليلها,الجامعة السعودية الالكترونية,250339007047,18 شهر,شركة دروع البيانات,-222,لن يتم التقديم,17-Mar-25,23-Mar-25,12-Apr-25,"تقنية المعلومات
برمجيات وتطبيقات",,,,,,,,,,,,,,,,,,,,,
624,صيانة وسفلتة الشارع العام بالمحافظة,بلدية محافظة رجال المع,250339013737,180 يوم,المقاولات,-228,لن يتم التقديم,20-Mar-25,23-Mar-25,06-Apr-25,"الإنشاءات والعقارات
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)-إنشاء الطرق",,,,,,,,,,,,,,,,,,,,,
625,مشروع نظافه قري شمال محافظه بلجرشي,بلدية محافظة بلجرشى,250339009187,1095 يوم,المقاولات,-218,لن يتم التقديم,13-Mar-25,23-Mar-25,16-Apr-25,"الإنشاءات والعقارات
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
626,مشروع تطوير القادة في هيئة السوق المالية,هيئة السوق المالية,250339007094,24 شهر,المعهد,-225,لم يتم التقديم,13-Mar-25,19-Mar-25,09-Apr-25, أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
627, صيانة وري الحدائق والمسطحات الخضراء بمحافظة ضمد,بلدية محافظة ضمد,250339010409,1095 يوم,البيئة,-214,لم يتم التقديم - لم يتم استلام العرض,20-Mar-25,22-Mar-25,20-Apr-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
628,اتفاقية تقديم الخدمات الفنية المساندة لأعمال الإنتاج والصيانة لمحطات تنقية المياه المنتجة والاحتياطية في منطقتي مكة المكرمة والباحة,المؤسسة العامة لتحلية المياه المالحة,250339013276,2 سنة,مصادر المياه,-214,لن يتم التقديم,20-Mar-25,23-Mar-25,20-Apr-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
629,اتفاقية تقديم الخدمات المساندة الفنية لإعمال الإنتاج والصيانة لمحطات تنقية المياه المنتجة والاحتياطية لمحافظتي الزلفي وثادق (سدير),المؤسسة العامة لتحلية المياه المالحة,250339011507,2 سنة,مصادر المياه,-214,لن يتم التقديم,20-Mar-25,23-Mar-25,20-Apr-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
630,تشغيل مدرسة تعليم القيادة بجامعة القصيم,جامعة القصيم,250339009579,365 يوم,المعهد,-221,لم يتم التقديم,16-Mar-25,19-Mar-25,13-Apr-25,أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
631,توريد اثاث مكتبي لمباني ديوان الوزارة بالرياض,مين,241239013715,24 شهر,لوجستي,-215,لن يتم التقديم,19-Mar-25,20-Mar-25,19-Apr-25, تجارة الأثاث المنزلي والمفروشات والستائر والسجاد,,,,,,,,,,,,,,,,,,,,,
632,شهادة مكة في تعزيز قدرات فرق الاستجابة السريعة للتعامل مع احداث الصحة العامة بمناطق الحج والعمرة,وزارة الصحة الديوان العام,250339008155,12 شهر,المعهد,-221,لم يتم التقديم,13-Mar-25,19-Mar-25,13-Apr-25,أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
633,تشغيل وصيانة المزروعات والحدائق بنطاق بلدية الملز بمدينة الرياض,أمانة منطقة الرياض,250239004086,3 سنة,المقاولات,-223,لن يتم التقديم,11-Mar-25,13-Mar-25,11-Apr-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
634,مشروع تشغيل وصيانة مسيج الإطلاق المقنن بالمحمية,محمية الملك عبدالعزيز,250339010049,24 شهر,البيطرة,-216,تم الترسية,18-Mar-25,18-Mar-25,18-Apr-25,الخدمات البيئية,"9,500,000.00",,,,,,,,,,,,,,,,,,,,
635,إنشاء منظومة حقن الكلور لخزان الإنتاج وخزان المياه الخام بمنظومة إنتاج المياه في أبيار الماشي.,المؤسسة العامة لتحلية المياه المالحة,250339001456,30 يوم,مصادر المياه,-229,لن يتم التقديم,20-Mar-25,20-Mar-25,05-Apr-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
636,مشروع الصيانة الوقائية وصيانة الأعطال الطارئة لوحدات التكييف المركزية والمنفصلة ( SPLIT UNIT ) بالمحطة وخطوط النقل التابعة لها بوحدة إنتاج القنفذة,المؤسسة العامة لتحلية المياه المالحة,250339013156,2 سنة,المقاولات,-229,لن يتم التقديم,20-Mar-25,20-Mar-25,05-Apr-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
637,تأمين المشخصات والمستلزمات لفحوصات سلامة الأغذية,المركز الوطني للوقاية من الآفات والامراض الحيوانية ومكافحتها,250339011190,12 شهر,البيطرة,-227,فرص انتهى وقت التقديم لها,20-Mar-25,20-Mar-25,07-Apr-25, مستودعات الادوية والصيدليات - المستلزمات الطبية,,,,,,,,,,,,,,,,,,,,,
638,تطوير وتأهيل شبكات الري الرئيسية بالمركز,مركز الملك عبدالعزيز للخيل العربية الأصيلة,250339008028,120 يوم,المقاولات,-220,فرص - لم يتم ترشيحها,23-Mar-25,24-Mar-25,14-Apr-25,تجارة مواد البناء والأدوات الكهربائية والصحية,,,,,,,,,,,,,,,,,,,,,
639,تأمين متطلبات مركز الفروسية,الادارة العامة لمشروع ينبع,250339000878,9 شهر,البيطرة,-224,فرص انتهى وقت التقديم لها,24-Mar-25,24-Mar-25,10-Apr-25, تجارة الحاصلات الزراعية,,,,,,,,,,,,,,,,,,,,,
640,نفقات الصيانة المباشرة للمزروعات بتبوك صيانة وتشغيل المشتل,أمانة منطقة تبوك,250339002661,1080 يوم,البيئة,-218,لم يتم التقديم - لم يتم استلام العرض,16-Mar-25,16-Mar-25,16-Apr-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
641,تقديم خدمات وكالة علاقات عامة واتصالات,محمية الأمير محمد بن سلمان,250239015506,3 سنة,السياحة,-210,لن يتم التقديم,24-Mar-25,25-Feb-25,24-Apr-25,خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني,,,,,,,,,,,,,,,,,,,,,
642,مشروع خدمات أمنية واستشارية للحماية الاستباقية وتقييم الثغرات والاختبار الاخلاقي,الهيئة العامة للولاية على أموال القاصرين ومن في حكمهم,250239016541,3 سنة,شركة دروع البيانات,-237,لم يتم التقديم - لم يتم استلام العرض,25-Feb-25,25-Feb-25,28-Mar-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
643,إعادة طرح مشروع توريد و تجديد رخص أنظمة تقنية المعلومات والاتصالات,الهيئة العامة للتطوير الدفاعي,250339003022,2 شهر,شركة دروع البيانات,-221,لم يتم التقديم - لم يتم استلام العرض,11-Mar-25,13-Mar-25,13-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
644,مشروع ربط تفريعة الفردانية,الهيئة السعودية للمياه,250239010470,4 شهر,المقاولات,-228,لن يتم التقديم,18-Feb-25,24-Mar-25,06-Apr-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
645,مشروع ربط تفريعة الدهو,الهيئة السعودية للمياه,250239010468,4 شهر,المقاولات,-228,لن يتم التقديم,18-Feb-25,24-Mar-25,06-Apr-25, إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
646,مشروع ربط تفريعة الجيشية,الهيئة السعودية للمياه,250239005180,4 شهر,المقاولات,-228,لن يتم التقديم,18-Feb-25,24-Mar-25,06-Apr-25, إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
647,مشروع استبدال محطة ينبع 2 (المرحلة الثانية),المؤسسة العامة لتحلية المياه المالحة,241239013974,30 شهر,المقاولات,-228,لن يتم التقديم,04-Feb-25,24-Mar-25,06-Apr-25,مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
648,نقل وايواء الماشية السائبة لموسم حج 1446 هـ بمكة المكرمة,وزارة البيئة والمياه والزراعة,250339014240,50 يوم,البيطرة,-221,الملغاة,20-Mar-25,22-Mar-25,13-Apr-25,أنشطة بيطرية,,,,,,,,,,,,,,,,,,,,,
649,مشروع البنية المؤسسية والتحول الرقمي,جامعة جازان,250339013915,36 شهر,شركة دروع البيانات,-209,فرص - لم يتم ترشيحها,25-Mar-25,25-Mar-25,25-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
650,"صيانة ونظافة منشآت الحرس الوطني بجازان
لمدة 36 شهراً ميلادياً",وزارة الحرس الوطني,250339008130,36 شهر,المقاولات,-224,لن يتم التقديم,25-Mar-25,25-Mar-25,10-Apr-25,"التشغيل والصيانة والنظافة للمنشآت - التشغيل
والصيانة",,,,,,,,,,,,,,,,,,,,,
651,"صيانة طريق الملك عبدالعزيز السياحي من
الانهيارات الصخرية",بلدية القريع بني مالك,250339016570,120 يوم,المقاولات,-217,فرص - لم يتم ترشيحها,25-Mar-25,25-Mar-25,17-Apr-25,"مقاولات الإنشاءات العامة (التشييد وبناء
المرافق العامة) - إنشاء الطرق",,,,,,,,,,,,,,,,,,,,,
652,"إعادة تأهيل مبنى مركز التشغيل والصيانة بالقوة
البحرية بجازان",القوات البحرية,250239005960,210 يوم,المقاولات,-224,لن يتم التقديم,25-Mar-25,25-Mar-25,10-Apr-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم،
الترميم)",,,,,,,,,,,,,,,,,,,,,
653,التحول الرقمي,هيئة الصحة العامة,250339015958,36 شهر,شركة دروع البيانات,-221,فرص - لم يتم ترشيحها,25-Mar-25,25-Mar-25,13-Apr-25,انشطة الاستشارات الادارية,,,,,,,,,,,,,,,,,,,,,
654,توريد المستلزمات والادوات الرقابية لخدمات صحة البيئة,هيئة الصحة العامة,250339004250,6 شهر,البيئة,-218,فرص - لم يتم ترشيحها,25-Mar-25,25-Mar-25,16-Apr-25,تجارة الأدوات والآلات والأجهزة,,,,,,,,,,,,,,,,,,,,,
655,توريد ديزل للمعدات والات وأجهزة البلدية,بلدية محافظة املج,250339016124,30 يوم,لوجستي,-224,لن يتم التقديم,25-Mar-25,25-Mar-25,10-Apr-25,"خدمات محطات الوقود وخدمات المركبات
الأخرى",,,,,,,,,,,,,,,,,,,,,
656,"صيانة وحدة الدوران الخاصة بوحدة غزل الالياف
الكربونية",مدينة الملك عبدالعزيز للعلوم والتقنية,250339016566,2 أسبوع,المقاولات,-229,لن يتم التقديم,25-Mar-25,25-Mar-25,05-Apr-25,"خدمات صيانة واصلاح الأجهزة والمعدات
والآلات",,,,,,,,,,,,,,,,,,,,,
657,"الخدمات المدارة للبنية التحتية الرقمية
والتطبيقات والبرمجيات",هيئة تطوير الأحساء,250339016587,1 سنة,شركة دروع البيانات,-224,فرص انتهى وقت التقديم لها,25-Mar-25,25-Mar-25,10-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
658,دعم وتشغيل البنية التحتية لقطاع تقنية المعلومات,محمية الإمام تركي بن عبدالله,250239014769,24 شهر,شركة دروع البيانات,-237,لم يتم التقديم - لم يتم استلام العرض,25-Feb-25,25-Feb-25,28-Mar-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
659,صيانة ثيل لبلدية الصداوي,بلدية الصداوى,250339016350,60 يوم,المقاولات,-224,لن يتم التقديم,25-Mar-25,25-Mar-25,10-Apr-25,"مقاولات فرعية تخصصية (أنشطة التشييد
المتخصصة)- إنشاء الطرق",,,,,,,,,,,,,,,,,,,,,
660,"مشروع تطوير وتشغيل المساعد الافتراضي
باستخدام الذكاء الاصطناعي التوليدي",وزارة الموارد البشرية والتنمية الاجتماعية,250339015777,12 شهر,شركة دروع البيانات,-210,فرص - لم يتم ترشيحها,25-Mar-25,25-Mar-25,24-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
661,تعزيز إدارة التغيير الرقمية 2025.,وزارة الحج والعمرة,250339011236,1 سنة,شركة دروع البيانات,-226,فرص انتهى وقت التقديم لها,23-Mar-25,25-Mar-25,08-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
662,نماذج تصنيف مخاطر العملاء الائتمانية وفق شركات التصنيف العالمية,صندوق التنمية الزراعية,250339016522,1 سنة,شركة دروع البيانات,-212,لن يتم التقديم,26-Mar-25,26-Mar-25,22-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
663,توريد مواد عدد كهربائية للهيئة السعوديه للمياه محطة بيش الساحل الغربي,الهيئة السعودية للمياه,250339015647,180 يوم,لوجستي,-223,لن يتم التقديم,26-Mar-25,26-Mar-25,11-Apr-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
664,تشغيل وصيانة الحدائق والمسطحات الخضراء وشبكات الري في مدينة عرعر,أمانة منطقة الحدود الشمالية,241039017400,1095 يوم,المقاولات,-168,فرص - لم يتم ترشيحها,26-Mar-25,26-Mar-25,05-Jun-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
665,مشروع تجديد وتطوير أجهزة جدار الحماية,صندوق التنمية العقارية,250339015219,12 شهر,شركة دروع البيانات,-223,لن يتم التقديم,26-Mar-25,26-Mar-25,11-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
666,بشأن طرح مشروع تفعيل الحدائق والمنتزهات بالاجازات الموسمية بمدينة حائل,أمانة منطقة حائل,250239015670,3 يوم,المقاولات,-225,لن يتم التقديم,24-Mar-25,26-Mar-25,09-Apr-25,"إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
667,مشروع تفعيل الحدائق بالمشاركات المجتمعية بمدينة حائل,أمانة منطقة حائل,250339015913,6 يوم,المقاولات,-225,لن يتم التقديم,24-Mar-25,26-Mar-25,09-Apr-25,"إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
668,ترحيل مخلفات مجهولة المصدر ببلدية الحيانية والبرك,أمانة منطقة الرياض,250339010721,90 يوم,المقاولات,-229,لن يتم التقديم,20-Mar-25,26-Mar-25,05-Apr-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)-إنشاء الطرق
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
الخدمات البيئية
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة
التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق",,,,,,,,,,,,,,,,,,,,,
669,الفعاليات و البرامج المجتمعية 2025م,هيئة تطوير المنطقة الشرقية,250339012243,1 سنة,السياحة,-211,لم يتم التقديم - لم يتم استلام العرض,23-Mar-25,23-Mar-25,23-Apr-25,أنشطة المعارض والمؤتمرات,,,,,,,,,,,,,,,,,,,,,
670,منافسة تقديم خدمات إعادة تأهيل المزلق البحري بميناء الملك فهد الصناعي بالجبيل,ميناء الملك فهد الصناعي بالجبيل,250239013418,8 شهر,المقاولات,-218,فرص - لم يتم ترشيحها,19-Feb-25,26-Mar-25,16-Apr-25,خدمات الموانئ,,,,,,,,,,,,,,,,,,,,,
671,منافسة توريد علامات ملاحية بميناء الملك فهد الصناعي بالجبيل,ميناء الملك فهد الصناعي بالجبيل,250239013408,4 شهر,لوجستي,-220,لن يتم التقديم,19-Feb-25,26-Mar-25,14-Apr-25,خدمات الموانئ,,,,,,,,,,,,,,,,,,,,,
672,مشروع تحسين قدرات التحليل الجنائي,وزارة الدفاع - الديوان العام,250339009644,3 سنة,شركة دروع البيانات,-211,لم يتم التقديم - لم يتم استلام العرض,13-Mar-25,25-Mar-25,23-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
673,صيانة الحدائق والمنتزهات والمسطحات الخضراء,بلدية بني عمرو,250339010762,120 يوم,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة",,,,,,,,,,,,,,,,,,,,,
674,مشروع معالجة التشوهات البصرية لقرية أم قليب,بلدية القيصومة,250339011663,270 يوم,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة",,,,,,,,,,,,,,,,,,,,,
675,صيانة الطرق بالعرضية الجنوبية,بلدية العرضية الجنوبية,250339011327,11 شهر,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق",,,,,,,,,,,,,,,,,,,,,
676,مشروع صيانة الطرق المستلمة من المواصلات (اعمال توريد وتنفيذ السلامة المرورية ),بلدية محافظة خميس مشيط,250339006709,365 يوم,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة",,,,,,,,,,,,,,,,,,,,,
677,صيانة وتأهيل سكن نائب أمير منطقة المدينة المنورة,أمارة منطقة المدينة المنورة,250339016285,2 شهر,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
678,"مشروع صيانة وانسنة الطرق بالمحافظة والمراكز التابعة لها

",بلدية بارق,250339005145,240 يوم,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)-إنشاء الطرق
التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق",,,,,,,,,,,,,,,,,,,,,
679,صيانة ونظافة وتشغيل غير طبي لمستشفى صامطة العام,تجمع جازان الصحي,240539014771,5 سنة,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
680,صيانة المباني و المرافق و المنشات,بلدية بحرأبو سكينة,250339005705,180 يوم,المقاولات,-45981,لن يتم التقديم,,,,"الإنشاءات والعقارات
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
681,تشغيل وصيانة الأنظمة بالمركز الوطني للعمليات الأمنية بمدينة الرياض,وزارة الداخلية - الديوان العام,241139006329,1095 يوم,شركة دروع البيانات,-45981,لن يتم التقديم,,,,"الإتصالات
دعم فني وصيانه",,,,,,,,,,,,,,,,,,,,,
682,Animal Keeper Services for the reintroduction of flagship species (husbandry and monitoring,هيئة تطوير السودة - السودة للتطوير,300000024516214,2 سنة,البيطرة,-224,تم التقديم - رفض العرض الفني,25-Mar-25,25-Mar-25,10-Apr-25,"رعاية الحيوانات
ومحميات","7,344,776.30",,,,,,,,,,,,,,,,,,,,
683,منافسة دعم وتشغيل أدوات إدارة وتحليل البيانات للهيئة,الهيئة السعودية لتنظيم الكهرباء,250339017750,24 شهر,شركة دروع البيانات,-212,لن يتم التقديم,29-Mar-25,03-Apr-25,22-Apr-25,انشطة الاستشارات الادارية,,,,,,,,,,,,,,,,,,,,,
684,قياس فاعلية وأثر برامج التدريب السياحي بوكالة تنمية القدرات البشرية السياحية,وزارة السياحة,250339017115,12 شهر,السياحة,-207,لم يتم التقديم - لم يتم استلام العرض,26-Mar-25,03-Apr-25,27-Apr-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
685,أعمال المسح الطوبوغرافي لأراضي مراكز انطلاق الجوالين والمبنى الإداري,محمية الإمام تركي بن عبدالله,250339017122,21 يوم,المقاولات,-222,فرص - لم يتم ترشيحها,27-Mar-25,03-Apr-25,12-Apr-25,انشطة الاستشارات الهندسية - تصميم,,,,,,,,,,,,,,,,,,,,,
686,الاتفاقية الاطارية لخدمات اعداد و تنفيذ برامج الابتعاث وتدريب وتأهيل الكوادر البشرية لدعم تنفيذ مبادرات وبرامج استراتيجية الهيئة 2030,هيئة المساحة الجيولوجية السعودية,240739003893,3 سنة,الاستدامة,-177,لن يتم التقديم,27-Mar-25,03-Apr-25,27-May-25,"انشطة الاستشارات الادارية
الأنشطة الاستشارية الأخرى",,,,,,,,,,,,,,,,,,,,,
687,تقديم الخدمات الهندسية الاستشارية لتصميم الطريق المحاذي لمحطة البضائع متعددة الأغراض بميناء جدة الإسلامي,ميناء جدة الاسلامي,250339013315,150 يوم,المقاولات,-220,فرص - لم يتم ترشيحها,27-Mar-25,03-Apr-25,14-Apr-25,انشطة الاستشارات الهندسية - تصميم,,,,,,,,,,,,,,,,,,,,,
688,توريد زهور ونباتات حولية لحفل تخرج الكلية لعام ٢٠٢٥م,القوات البرية,250339017426,,,-226,فرص انتهى وقت التقديم لها,27-Mar-25,03-Apr-25,08-Apr-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
689,صيانة ثيل لبلدية الصداوي,بلدية الصداوى,250339017645,60 يوم,البيئة,-221,فرص انتهى وقت التقديم لها,28-Mar-25,03-Apr-25,13-Apr-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
690,توريد وصيانة أعمدة انارة مرافق عامة,أمانة منطقة الرياض,250339017270,45 يوم,المقاولات,-209,فرص - لم يتم ترشيحها,29-Mar-25,03-Apr-25,25-Apr-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
أنشطة زراعية
خدمات صيانة واصلاح الأجهزة والمعدات والآلات
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
691,مشروع عملية تنفيذ أعمال تعديلات واضافات بمبنى مركز التاهيل الشامل للإناث بنجران,وزارة الموارد البشرية والتنمية الاجتماعية,250339016051,6 شهر,المقاولات,-220,فرص - لم يتم ترشيحها,29-Mar-25,03-Apr-25,14-Apr-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
692,استكمال اعمال كهربائية وميكانيكية واعمال تشطيبات بمستشفى قاعدة الملك عبدالعزيز البحرية بالجبيل,مستشفى الجبيل,250339017376,8 شهر,المقاولات,-205,لن يتم التقديم,29-Mar-25,03-Apr-25,29-Apr-25,"مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء
الإتصالات
أنشطة الأمن و السلامة",,,,,,,,,,,,,,,,,,,,,
693,صيانة وتاهيل المحولات واعمدة الانارة ولوحات التحكم بمحافظة ثار والمراكز التابعة,بلدية محافظة ثار,250339016779,4 شهر,المقاولات,-218,فرص - لم يتم ترشيحها,31-Mar-25,03-Apr-25,16-Apr-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
694,تأهيل وصيانة وتحسين المنظور البصري,أمانة منطقة الرياض,250339017745,2 شهر,المقاولات,-207,فرص - لم يتم ترشيحها,30-Mar-25,03-Apr-25,27-Apr-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
695,صيانة المداخل والمجسمات الجمالية بمحافظة رابغ والمراكز التابعة لها,بلدية محافظة رابغ,250339017525,,المقاولات,-216,فرص - لم يتم ترشيحها,02-Apr-25,03-Apr-25,18-Apr-25,,,,,,,,,,,,,,,,,,,,,,
696,إعادة تأهيل المناطق المتدهورة في غابات منطقة الباحة,المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,250339004519,36 شهر,البيئة,-212,تم التقديم - قبول العرض الفني,16-Mar-25,16-Mar-25,22-Apr-25,أنشطة زراعية,"29,764,300",,,,,,,,,,,,,,,,,,,,
697,الحصول على اعتماد LEED,الهيئة العامة للمنشآت الصغيرة والمتوسطة,250439002187,7 شهر,الاستدامة,-218,لم يتم الترسية,08-Apr-25,08-Apr-25,16-Apr-25,الخدمات التجارية و الإدارية,"1,244,300.00",شركة دبسا للاستشارات الهندسية,81098.00,,,,,,,,,,,,,,,,,,
698,الحصول على اعتماد ISO,الهيئة العامة للمنشآت الصغيرة والمتوسطة,250439002025,7 شهر,الاستدامة,-219,لن يتم التقديم,08-Apr-25,08-Apr-25,15-Apr-25,انشطة الاستشارات الادارية,,,,,,,,,,,,,,,,,,,,,
699,اعادة تأهيل سور منطقة التناضح العكسي بوحدة انتاج ضباء,المؤسسة العامة لتحلية المياه المالحة - منظومة إنتاج ينبع,250439000659,2 شهر,المقاولات,-210,لن يتم التقديم,08-Apr-25,08-Apr-25,24-Apr-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
700,معايرة جهاز قارئ وتحليل الاهتزازات CSI 2140,المؤسسة العامة لتحلية المياه المالحة - منظومة إنتاج ينبع,250439000656,3 سنة,المقاولات,-210,فرص - لم يتم ترشيحها,08-Apr-25,08-Apr-25,24-Apr-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
701,استئجار وسائل نقل متعددة للمركز الوطني للأرصاد,المركز الوطني للأرصاد,250339017395,2 شهر,,-219,فرص - لم يتم ترشيحها,08-Apr-25,08-Apr-25,15-Apr-25,خدمات التأجير,,,,,,,,,,,,,,,,,,,,,
702,تأهيل خزانات تجمع مياه الأمطار,القوات البرية,250439001839,45 يوم,المقاولات,-210,لن يتم التقديم,08-Apr-25,08-Apr-25,24-Apr-25,"مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
